GROUP_FORUM_MESSAGE,84
CITY_NEWS_COMMENT,1
INTEREST,1
GROUP_NAME,3
GROUP_CONTACTS,0
GROUP_FORUM_NAME,2222
USER_PHOTOPIN_INFO,23
HOLIDAY_DESCRIPTION,10
USER_FORUM_MESSAGE,1
CHAT_MESSAGE,0
MOVIE_COMMENT,20
GROUP_PHOTO_TITLE,1
GROUP_PHOTO_ALBUM,89
PHOTO_ALBUM_COMMENT,0
MEDIA_TOPIC_USER_MARKED,4
CHAT_THEME,0
CITY_NEWS,64
COMMUNITY_FORUM_MESSAGE,0
PLACE,0
USER_SHARE_COMMENT,0
USER_MESSAGE,32341
FRIEND_INVITE,1370
USER_STATUS,12274
GROUP_JOIN_REQUEST,32
GROUP_JOIN,217
PHOTO_ALBUM,401
USER_PERSONAL_DATA,50
PHOTO_TITLE,1086
MOVIE_UPLOADED,1236
PHOTO_COMMENT,1060
USER_STATUS_COMMENT,1213
GROUP_INVITATION,101
GROUP_PHOTO_COMMENT,100
APP_INVITATION,7383
GROUP_FORUM_MESSAGE,128
CITY_NEWS_COMMENT,1
INTEREST,0
GROUP_NAME,5
GROUP_CONTACTS,0
GROUP_FORUM_NAME,5584
USER_PHOTOPIN_INFO,153
HOLIDAY_DESCRIPTION,58
USER_FORUM_MESSAGE,4
CHAT_MESSAGE,0
MOVIE_COMMENT,3
GROUP_PHOTO_TITLE,17
GROUP_PHOTO_ALBUM,579
PHOTO_ALBUM_COMMENT,45
MEDIA_TOPIC_USER_MARKED,2
CHAT_THEME,0
CITY_NEWS,186
COMMUNITY_FORUM_MESSAGE,0
PLACE,0
USER_SHARE_COMMENT,0
USER_MESSAGE,36552
FRIEND_INVITE,3207
USER_STATUS,5239
GROUP_JOIN_REQUEST,49
GROUP_JOIN,324
PHOTO_ALBUM,196
USER_PERSONAL_DATA,145
PHOTO_TITLE,3327
MOVIE_UPLOADED,1476
PHOTO_COMMENT,651
USER_STATUS_COMMENT,260
GROUP_INVITATION,43
GROUP_PHOTO_COMMENT,14
APP_INVITATION,3133
GROUP_FORUM_MESSAGE,52
CITY_NEWS_COMMENT,2
INTEREST,6
GROUP_NAME,6
GROUP_CONTACTS,0
GROUP_FORUM_NAME,2205
USER_PHOTOPIN_INFO,86
HOLIDAY_DESCRIPTION,6
USER_FORUM_MESSAGE,21
CHAT_MESSAGE,0
MOVIE_COMMENT,31
GROUP_PHOTO_TITLE,104
GROUP_PHOTO_ALBUM,15
PHOTO_ALBUM_COMMENT,10
MEDIA_TOPIC_USER_MARKED,0
CHAT_THEME,0
CITY_NEWS,26
COMMUNITY_FORUM_MESSAGE,0
PLACE,1
USER_SHARE_COMMENT,0
USER_MESSAGE,42343
FRIEND_INVITE,1835
USER_STATUS,3788
GROUP_JOIN_REQUEST,24
GROUP_JOIN,183
PHOTO_ALBUM,185
USER_PERSONAL_DATA,181
PHOTO_TITLE,7040
MOVIE_UPLOADED,954
PHOTO_COMMENT,441
USER_STATUS_COMMENT,304
GROUP_INVITATION,61
GROUP_PHOTO_COMMENT,10
APP_INVITATION,3624
GROUP_FORUM_MESSAGE,66
CITY_NEWS_COMMENT,0
INTEREST,0
GROUP_NAME,8
GROUP_CONTACTS,0
GROUP_FORUM_NAME,1381
USER_PHOTOPIN_INFO,10
HOLIDAY_DESCRIPTION,2
USER_FORUM_MESSAGE,2
CHAT_MESSAGE,177
MOVIE_COMMENT,10
GROUP_PHOTO_TITLE,4
GROUP_PHOTO_ALBUM,53
PHOTO_ALBUM_COMMENT,0
MEDIA_TOPIC_USER_MARKED,0
CHAT_THEME,0
CITY_NEWS,31
COMMUNITY_FORUM_MESSAGE,0
PLACE,0
USER_SHARE_COMMENT,0
USER_MESSAGE,42736
FRIEND_INVITE,2010
USER_STATUS,5348
GROUP_JOIN_REQUEST,80
GROUP_JOIN,541
PHOTO_ALBUM,165
USER_PERSONAL_DATA,249
PHOTO_TITLE,1897
MOVIE_UPLOADED,544
PHOTO_COMMENT,1150
USER_STATUS_COMMENT,1353
GROUP_INVITATION,11
GROUP_PHOTO_COMMENT,47
APP_INVITATION,1278
GROUP_FORUM_MESSAGE,193
CITY_NEWS_COMMENT,0
INTEREST,0
GROUP_NAME,5
GROUP_CONTACTS,0
GROUP_FORUM_NAME,5739
USER_PHOTOPIN_INFO,269
HOLIDAY_DESCRIPTION,12
USER_FORUM_MESSAGE,2
CHAT_MESSAGE,46
MOVIE_COMMENT,18
GROUP_PHOTO_TITLE,119
GROUP_PHOTO_ALBUM,98
PHOTO_ALBUM_COMMENT,1
MEDIA_TOPIC_USER_MARKED,30
CHAT_THEME,0
CITY_NEWS,23
COMMUNITY_FORUM_MESSAGE,0
PLACE,0
USER_SHARE_COMMENT,0
USER_MESSAGE,40443
FRIEND_INVITE,2206
USER_STATUS,4927
GROUP_JOIN_REQUEST,74
GROUP_JOIN,523
PHOTO_ALBUM,148
USER_PERSONAL_DATA,124
PHOTO_TITLE,1734
MOVIE_UPLOADED,816
PHOTO_COMMENT,1204
USER_STATUS_COMMENT,443
GROUP_INVITATION,171
GROUP_PHOTO_COMMENT,30
APP_INVITATION,1877
GROUP_FORUM_MESSAGE,1878
CITY_NEWS_COMMENT,0
INTEREST,6
GROUP_NAME,11
GROUP_CONTACTS,0
GROUP_FORUM_NAME,3606
USER_PHOTOPIN_INFO,97
HOLIDAY_DESCRIPTION,24
USER_FORUM_MESSAGE,0
CHAT_MESSAGE,36
MOVIE_COMMENT,11
GROUP_PHOTO_TITLE,53
GROUP_PHOTO_ALBUM,77
PHOTO_ALBUM_COMMENT,1
MEDIA_TOPIC_USER_MARKED,22
CHAT_THEME,0
CITY_NEWS,27
COMMUNITY_FORUM_MESSAGE,0
PLACE,0
USER_SHARE_COMMENT,0
USER_MESSAGE,72393
FRIEND_INVITE,668
USER_STATUS,2878
GROUP_JOIN_REQUEST,17
GROUP_JOIN,214
PHOTO_ALBUM,84
USER_PERSONAL_DATA,113
PHOTO_TITLE,752
MOVIE_UPLOADED,539
PHOTO_COMMENT,1017
USER_STATUS_COMMENT,1043
GROUP_INVITATION,8
GROUP_PHOTO_COMMENT,4
APP_INVITATION,965
GROUP_FORUM_MESSAGE,247
CITY_NEWS_COMMENT,4
INTEREST,0
GROUP_NAME,0
GROUP_CONTACTS,0
GROUP_FORUM_NAME,2205
USER_PHOTOPIN_INFO,49
HOLIDAY_DESCRIPTION,2
USER_FORUM_MESSAGE,0
CHAT_MESSAGE,194
MOVIE_COMMENT,9
GROUP_PHOTO_TITLE,4
GROUP_PHOTO_ALBUM,152
PHOTO_ALBUM_COMMENT,0
MEDIA_TOPIC_USER_MARKED,37
CHAT_THEME,0
CITY_NEWS,14
COMMUNITY_FORUM_MESSAGE,0
PLACE,0
USER_SHARE_COMMENT,0
USER_MESSAGE,36827
FRIEND_INVITE,1932
USER_STATUS,4936
GROUP_JOIN_REQUEST,63
GROUP_JOIN,775
PHOTO_ALBUM,353
USER_PERSONAL_DATA,163
PHOTO_TITLE,12469
MOVIE_UPLOADED,1434
PHOTO_COMMENT,863
USER_STATUS_COMMENT,563
GROUP_INVITATION,472
GROUP_PHOTO_COMMENT,34
APP_INVITATION,5010
GROUP_FORUM_MESSAGE,94
CITY_NEWS_COMMENT,0
INTEREST,1
GROUP_NAME,21
GROUP_CONTACTS,0
GROUP_FORUM_NAME,4512
USER_PHOTOPIN_INFO,307
HOLIDAY_DESCRIPTION,12
USER_FORUM_MESSAGE,3
CHAT_MESSAGE,160
MOVIE_COMMENT,18
GROUP_PHOTO_TITLE,12
GROUP_PHOTO_ALBUM,93
PHOTO_ALBUM_COMMENT,0
MEDIA_TOPIC_USER_MARKED,19
CHAT_THEME,0
CITY_NEWS,65
COMMUNITY_FORUM_MESSAGE,0
PLACE,0
USER_SHARE_COMMENT,0
USER_MESSAGE,23020
FRIEND_INVITE,1931
